EVENT_LOG	DISCOVERY_ALG	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.8576	0.75	0.8233
edited_hh104_labour.xes.gz	IMd	0.0153	0.9294	0.9892
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.221	0.8576	0.9053
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.0491	0.9187	0.9751
activitylog_uci_detailed_labour.xes.gz	IMf	0.1049	0.7621	0.9124
activitylog_uci_detailed_labour.xes.gz	ETM	0.8529	0.7037	0.8037
activitylog_uci_detailed_weekends.xes.gz	IMf	0.0966	0.7607	0.918
activitylog_uci_detailed_weekends.xes.gz	ETM	0.6342	0.7186	0.8333
edited_hh102_labour.xes.gz	IMd	0.008	0.9543	0.9945
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	0.9612	0.9498	0.966
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.1722	0.7481	0.8771
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.017	0.9411	0.9901
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	0.9196	0.6471	0.6731
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.4714	0.9163	0.9277
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.9253	0.4872	0.5441
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.502	0.5769	0.7689
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.494	0.625	0.7303
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	1.0	0.6721	0.6818
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.7378	0.4133	0.5024
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	0.6648	0.5753	0.6061
ElectronicInvoicingENG.xes.gz	IMf	0.3261	0.5	0.7042
ElectronicInvoicingENG.xes.gz	IMd	0.0478	0.8713	0.9523
ElectronicInvoicingENG.xes.gz	ETM	0.7063	0.3	0.475
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.1985	0.7415	0.8786
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.1072	0.8058	0.9386
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.0917	0.777	0.9413
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.204	0.837	0.8842
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	0.7252	0.8771	0.9244
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	0.5994	0.9222	0.9565
BPI_Challenge_2014_Inspection.xes.gz	IMd	0.0419	0.9286	0.9881
BPI_Challenge_2014_Inspection.xes.gz	ETM	0.9925	0.88	0.9373
BPI_Challenge_2014_Geo parcel document.xes.gz	IMf	0.2748	0.6987	0.8329
BPI_Challenge_2014_Geo parcel document.xes.gz	ETM	0.7922	0.9103	0.9422
BPI_Challenge_2012.xes.gz	ETM			
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.8269	0.8876	0.9223
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	0.3092	0.8881	0.9315
DocumentProcessingENG.xes.gz	IMf	0.3006	0.5128	0.7206
DocumentProcessingENG.xes.gz	IMd	0.0377	0.8895	0.9622
DocumentProcessingENG.xes.gz	ETM	0.6769	0.3125	0.45
edited_hh110_labour.xes.gz	IMf	0.0947	0.8097	0.9165
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.9554	0.868	0.903
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.4427	0.9321	0.9335
edited_hh104_weekends.xes.gz	IMd	0.0141	0.9192	0.9894
edited_hh104_weekends.xes.gz	ETM	0.7137	0.7794	0.8684
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.3278	0.9053	0.9126
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	0.8597	0.9416	0.9631
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	0.0226	0.8861	0.9863
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	0.8359	0.9462	0.9724
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	0.8866	0.8643	0.9022
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	0.0236	0.9312	0.983
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	0.4492	0.9139	0.9313
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	0.7283	0.9455	0.965
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.7045	0.5323	0.6099
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	0.6413	0.45	0.6033
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	0.3642	0.7067	0.8045
Hospital Billing - Event Log.xes.gz	IMf	0.0863	0.7756	0.9224
Hospital Billing - Event Log.xes.gz	ETM	0.0755	0.8915	0.949
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	0.7398	0.8661	0.9098
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.102	0.7175	0.894
Road_Traffic_Fine_Management_Process.xes.gz	ETM	0.5177	0.8608	0.9026
BPI_Challenge_2020_PermitLog.xes.gz	ETM	0.3337	0.9627	0.9781
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	0.9749	0.9926	0.9974
Sepsis Cases - Event Log.xes.gz	IMf	0.2663	0.7849	0.8727
Sepsis Cases - Event Log.xes.gz	ETM	0.6695	0.8054	0.8718
BPI_Challenge_2013_open_problems.xes.gz	IMf	0.9713	0.1714	0.2024
BPI_Challenge_2013_open_problems.xes.gz	IMd	0.538	0.4	0.5747
BPI_Challenge_2013_open_problems.xes.gz	ETM			
BPI_Challenge_2013_incidents.xes.gz	IMf	0.8095	0.4423	0.6015
BPI_Challenge_2013_incidents.xes.gz	IMd	0.3664	0.5463	0.7483
BPI_Challenge_2013_incidents.xes.gz	ETM			
BPI Challenge 2017.xes.gz	ETM	0.618	0.9104	0.9444
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.1311	0.7861	0.8667
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	0.0219	0.9201	0.9808
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	0.1244	0.8365	0.9272
5a_VARA_CIVEL_-_TJMT.xes	IMd	0.0522	0.909	0.9766
5a_VARA_CIVEL_-_TJMT.xes	ETM	0.6532	0.8931	0.9118
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.2811	0.8529	0.8966
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	ETM	0.9019	0.7481	0.7935
