method	timeouts	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	16	609.6354	1368.3321	491.6425	1059.5493	546.2642	1389.3006	831.9213	1644.2439
50_freq_fit	12	358.7258	915.3117	254.2378	566.3648	341.7629	943.1088	502.1765	1175.733
50_rand_fit	11	339.0912	795.2449	268.9331	605.8747	357.6536	911.0186	394.5671	835.2286
25_freq_fit	6	195.6883	617.3104	146.1548	384.4602	191.6849	651.2002	258.1859	780.0794
25_rand_fit	9	169.7564	427.1961	110.6777	230.5594	179.371	480.5906	224.6756	519.0551
align_time_pre	4	157.6523	520.1567	68.6062	154.7665	250.6734	761.9881	133.3434	352.2592
50_freq_pre	2	86.0484	327.6562	26.4641	48.4021	159.5491	509.9055	54.4324	112.9699
50_rand_pre	3	94.5287	320.1764	37.5147	86.4688	159.5104	475.1044	71.5699	197.6065
25_freq_pre	2	43.7804	174.0174	13.5679	27.7769	86.297	272.7465	20.5933	38.2936
25_rand_pre	3	50.367	184.0469	21.4927	55.3285	85.0107	277.7728	36.3747	96.0255
markov_fit_k_1	9	123.4881	625.6755	54.7942	220.0729	271.571	971.9129	0.659	0.978
markov_pre_k_1	9	123.4881	625.6755	54.7942	220.0729	271.571	971.9129	0.659	0.978
