low_complexity	medium_complexity	high_complexity
0.5767281433333333	0.034720300000000086	-0.13898509
0.7892873633333333	0.12919140666666667	-0.8053580946666666
0.0052543033333333255	0.2559396666666667	-0.2173257333333333
0.15369844333333332	0.4809725233333333	-0.6836143666666668
0.18204680387596905	-0.04820586000000001	0.04134275888446216
0.23836097316666666	-0.3832077633333333	0.37400764896551725
0.4205894233333333	0.10702668717741935	-0.3252516866666667
-0.6381457666666667	0.10749620533333333	-0.5457386333333333
0.08111656460481101	-0.15088663	-0.1748404693950178
0.4064501133333333	0.08515331999999999	-0.6922800766666668
